Hora,No,Vibracion,Lugar
14:26:25,186,6.861,domo
14:26:25,187,5.39,domo
14:26:25,188,22.06,domo
14:26:26,189,21.83,domo
14:26:26,190,7.474,domo
14:26:26,191,16.93,domo
14:26:26,192,20.11,domo
14:26:26,193,11.84,domo
14:26:26,194,7.069,domo
14:26:26,195,13.24,domo
14:26:26,196,8.124,domo
14:26:26,197,2.092,domo
14:26:27,198,5.299,domo
14:26:27,199,6.824,domo
14:26:27,200,6.164,domo
14:26:27,201,22.29,domo
14:26:27,202,12.62,domo
14:26:27,203,24.21,domo
14:26:27,204,9.122,domo
14:26:27,205,14.44,domo
14:26:27,206,15.67,domo
14:26:27,207,7.01,domo
14:26:27,208,14.51,domo
14:26:27,209,3.131,domo
14:26:27,210,24.57,domo
14:26:27,211,24.18,domo
14:26:27,212,10.72,domo
14:26:27,213,26.07,domo
14:26:27,214,8.065,domo
14:26:27,215,10.52,domo
14:26:27,216,10.73,domo
14:26:27,217,5.249,domo
14:26:27,218,18.46,domo
14:26:27,219,20.32,domo
14:26:28,220,19.04,domo
14:26:28,221,5.963,domo
14:26:29,222,8.876,domo
14:26:29,223,5.29,domo
14:26:29,224,17.61,domo
14:26:29,225,8.389,domo
14:26:29,226,22.25,domo
14:26:29,227,13.82,domo
14:26:29,228,10.9,domo
14:26:29,229,13.23,domo
14:26:29,230,13.29,domo
14:26:29,231,4.706,domo
14:26:29,232,5.12,domo
14:26:29,233,4.086,domo
14:26:29,234,18.15,domo
14:26:29,235,10.33,domo
14:26:29,236,3.84,domo
14:26:29,237,10.78,domo
14:26:29,238,2.846,domo
14:26:29,239,13.88,domo
14:26:29,240,21.84,domo
14:26:29,241,12.63,domo
14:26:29,242,15.42,domo
14:26:29,243,11.76,domo
14:26:29,244,24.39,domo
14:26:29,245,6.09,domo
14:26:29,246,26.91,domo
14:26:31,247,2.477,domo
14:26:31,248,21.16,domo
14:26:31,249,20.07,domo
14:26:31,250,13.51,domo
14:26:31,251,1.288,domo
14:26:31,252,7.031,domo
14:26:31,253,26.66,domo
14:26:31,254,11.48,domo
14:26:31,255,12.53,domo
14:26:31,256,4.6,domo
14:26:31,257,9.926,domo
14:26:31,258,5.186,domo
14:26:31,259,17.13,domo
14:26:31,260,15,domo
14:26:31,261,10.51,domo
14:26:31,262,16.69,domo
14:26:31,263,4.107,domo
14:26:31,264,6.175,domo
14:26:31,265,21.84,domo
14:26:31,266,3.907,domo
14:26:31,267,17.46,domo
14:26:31,268,15.58,domo
14:26:31,269,21.18,domo
14:26:31,270,7.573,domo
14:26:32,271,5.089,domo
14:26:32,272,16.64,domo
14:26:32,273,5.81,domo
14:26:32,274,21.99,domo
14:26:32,275,10.43,domo
14:26:32,276,10.1,domo
14:26:32,277,21.73,domo
14:26:32,278,16.51,domo
14:26:32,279,15.61,domo
14:26:32,280,14.3,domo
14:26:32,281,16.28,domo
14:26:32,282,21.8,domo
14:26:32,283,15.82,domo
14:26:33,284,3.926,domo
14:26:33,285,7.828,domo
14:26:33,286,6.341,domo
14:26:33,287,8.199,domo
14:26:33,288,16.36,domo
14:26:33,289,8.099,domo
14:26:34,290,17.21,domo
14:26:34,291,3.514,domo
14:26:34,292,5.511,domo
14:26:34,293,5.068,domo
14:26:34,294,13.21,domo
14:26:34,295,22.05,domo
14:26:34,296,22.4,domo
14:26:34,297,22.05,domo
14:26:34,298,13.12,domo
14:26:34,299,3.138,domo
14:26:34,300,2.156,domo
14:26:34,301,13.64,domo
14:26:34,302,15.97,domo
14:26:34,303,12.87,domo
14:26:34,304,16.88,domo
14:26:35,305,11.83,domo
14:26:35,306,6.946,domo
14:26:35,307,15.86,domo
14:26:35,308,15.44,domo
14:26:35,309,13.69,domo
14:26:35,310,16.81,domo
14:26:35,311,20.77,domo
14:26:35,312,11.68,domo
14:26:35,313,21.82,domo
14:26:35,314,11.47,domo
14:26:35,315,14.49,domo
14:26:35,316,16.23,domo
14:26:35,317,3.946,domo
14:26:35,318,5.562,domo
14:26:35,319,10.67,domo
14:26:35,320,16.28,domo
14:26:35,321,13.46,domo
14:26:35,322,17.87,domo
14:26:35,323,11.44,domo
14:26:35,324,8.271,domo
14:26:35,325,11.79,domo
14:26:36,326,15.96,domo
14:26:36,327,12.64,domo
14:26:37,328,2.555,domo
14:26:37,329,2.953,domo
14:26:37,330,20,domo
14:26:37,331,2.392,domo
14:26:37,332,22.4,domo
14:26:37,333,11.98,domo
14:26:37,334,9.096,domo
14:26:37,335,18.41,domo
14:26:37,336,5.807,domo
14:26:37,337,6.329,domo
14:26:37,338,9.891,domo
14:26:37,339,0.947,domo
14:26:37,340,8.259,domo
14:26:37,341,18.41,domo
14:26:37,342,8.632,domo
14:26:37,343,8.181,domo
14:26:37,344,1.714,domo
14:26:37,345,17.9,domo
14:26:38,346,3.718,domo
14:26:38,347,16.48,domo
14:26:38,348,15.72,domo
14:26:38,349,17.03,domo
14:26:38,350,20.51,domo
14:26:38,351,4.556,domo
14:26:38,352,9.831,domo
14:26:38,353,11.08,domo
14:26:38,354,18.26,domo
14:26:38,355,3.527,domo
14:26:38,356,17.43,domo
14:26:38,357,17.38,domo
14:26:38,358,17.36,domo
14:26:38,359,12.57,domo
14:26:39,360,3.154,domo
14:26:39,361,18.09,domo
14:26:39,362,14.34,domo
14:26:39,363,10.69,domo
14:26:39,364,0.7,domo
14:26:39,365,17.4,domo
14:26:39,366,8.467,domo
14:26:39,367,7.558,domo
14:26:39,368,2.478,domo
14:26:39,369,7.726,domo
14:26:39,370,15.82,domo
14:26:39,371,6.016,domo
14:26:40,372,10.93,domo
14:26:40,373,13.63,domo
14:26:40,374,16.01,domo
14:26:40,375,17.63,domo
14:26:40,376,5.691,domo
14:26:40,377,10.86,domo
14:26:40,378,14.43,domo
14:26:40,379,16.26,domo
14:26:40,380,5.089,domo
14:26:40,381,17.58,domo
14:26:40,382,3.975,domo
14:26:40,383,5.917,domo
14:26:40,384,13.32,domo
14:26:40,385,9.599,domo
14:26:40,386,13.91,domo
14:26:40,387,9.413,domo
14:26:40,388,12.4,domo
14:26:40,389,7.99,domo
14:26:40,390,8.619,domo
14:26:40,391,8.028,domo
14:26:41,392,11.47,domo
14:26:41,393,6.356,domo
14:26:41,394,3.892,domo
14:26:41,395,11.61,domo
14:26:41,396,5.518,domo
14:26:41,397,11.37,domo
14:26:41,398,3.977,domo
14:26:41,399,12.3,domo
14:26:41,400,5.482,domo
14:26:41,401,16.22,domo
14:26:41,402,9.558,domo
14:26:43,403,16.09,domo
14:26:43,404,15.37,domo
14:26:43,405,5.7,domo
14:26:43,406,11.66,domo
14:26:43,407,16.8,domo
14:26:43,408,7.258,domo
14:26:43,409,12.88,domo
14:26:43,410,7.059,domo
14:26:43,411,4.623,domo
14:26:43,412,5.553,domo
14:26:43,413,7.686,domo
14:26:43,414,15.41,domo
14:26:43,415,8.991,domo
14:26:43,416,2.908,domo
14:26:43,417,1.205,domo
14:26:43,418,18,domo
14:26:43,419,17.27,domo
14:26:43,420,5.124,domo
14:26:43,421,3.842,domo
14:26:43,422,16.2,domo
14:26:43,423,18.24,domo
14:26:43,424,10.3,domo
14:26:43,425,7.77,domo
14:26:43,426,14.39,domo
14:26:43,427,3.97,domo
14:26:43,428,7.472,domo
14:26:43,429,13.69,domo
14:26:44,430,9.562,domo
14:26:44,431,0.482,domo
14:26:44,432,4.366,domo
14:26:44,433,12.13,domo
14:26:44,434,4.228,domo
14:26:45,435,2.305,domo
14:26:45,436,16.09,domo
14:26:45,437,10.86,domo
14:26:45,438,13.72,domo
14:26:45,439,15.51,domo
